"","GEO.id","GEO.id2","GEO.display.label","YEAR","HC01_VC03","HC01_VC04","HC01_VC06","HC01_VC07","HC01_VC08","HC01_VC09","HC01_VC10","HC01_VC11","HC01_VC12","HC01_VC75","HC01_VC85","HC01_VC86","HC01_VC87","HC01_VC88","HC01_VC89","HC01_VC90","HC01_VC91"
"227","1400000US11001003100",11001003100,"Census Tract 31, District of Columbia, District of Columbia","2012",940,464,267,232,129,63,23,169,115,889,385,168,379,304,0,488,344
"228","1400000US11001003200",11001003200,"Census Tract 32, District of Columbia, District of Columbia","2012",1653,973,350,416,157,102,45,455,148,1112,472,552,872,439,67,654,518
"229","1400000US11001003301",11001003301,"Census Tract 33.01, District of Columbia, District of Columbia","2012",1381,488,186,320,129,42,11,126,46,742,19,113,275,297,89,604,801
"230","1400000US11001003302",11001003302,"Census Tract 33.02, District of Columbia, District of Columbia","2012",905,452,158,252,64,19,0,181,94,529,28,82,216,174,70,470,534
"231","1400000US11001003400",11001003400,"Census Tract 34, District of Columbia, District of Columbia","2012",1179,452,157,189,84,84,17,179,56,2708,195,217,211,240,12,704,384
"232","1400000US11001003500",11001003500,"Census Tract 35, District of Columbia, District of Columbia","2012",989,305,136,153,20,28,28,124,88,1974,218,119,391,292,60,340,329
"233","1400000US11001003600",11001003600,"Census Tract 36, District of Columbia, District of Columbia","2012",1849,666,312,235,77,103,50,328,185,869,359,149,548,502,95,816,714
"234","1400000US11001003700",11001003700,"Census Tract 37, District of Columbia, District of Columbia","2012",2250,613,279,252,68,69,54,292,157,1572,233,327,449,240,117,842,774
"235","1400000US11001003800",11001003800,"Census Tract 38, District of Columbia, District of Columbia","2012",2738,653,186,459,127,103,47,91,12,605,166,171,298,374,50,1387,1665
"236","1400000US11001003900",11001003900,"Census Tract 39, District of Columbia, District of Columbia","2012",2670,636,157,501,133,53,13,82,11,569,18,38,324,284,63,1551,1666
"237","1400000US11001004001",11001004001,"Census Tract 40.01, District of Columbia, District of Columbia","2012",2170,537,166,455,135,43,14,39,17,423,43,0,48,146,34,1199,1541
"238","1400000US11001004002",11001004002,"Census Tract 40.02, District of Columbia, District of Columbia","2012",1600,318,47,287,47,12,0,19,0,289,46,13,122,151,26,822,927
"239","1400000US11001004100",11001004100,"Census Tract 41, District of Columbia, District of Columbia","2012",1477,486,89,426,80,33,9,27,0,359,30,68,96,163,40,658,1292
"240","1400000US11001004201",11001004201,"Census Tract 42.01, District of Columbia, District of Columbia","2012",2102,358,120,266,67,0,0,92,53,483,80,0,214,165,24,894,1566
"241","1400000US11001004202",11001004202,"Census Tract 42.02, District of Columbia, District of Columbia","2012",1656,276,53,255,53,0,0,21,0,418,0,10,27,123,31,809,1229
"242","1400000US11001004300",11001004300,"Census Tract 43, District of Columbia, District of Columbia","2012",1840,503,226,311,153,122,73,70,0,397,196,158,89,367,33,737,957
"243","1400000US11001004400",11001004400,"Census Tract 44, District of Columbia, District of Columbia","2012",2469,552,211,493,195,0,0,59,16,613,308,129,265,158,89,1713,1820
"244","1400000US11001004600",11001004600,"Census Tract 46, District of Columbia, District of Columbia","2012",1184,555,267,203,88,83,12,269,167,486,57,166,537,287,78,540,452
"245","1400000US11001004701",11001004701,"Census Tract 47.01, District of Columbia, District of Columbia","2012",1677,550,311,182,34,13,13,355,264,793,84,354,457,248,92,378,437
"246","1400000US11001004702",11001004702,"Census Tract 47.02, District of Columbia, District of Columbia","2012",1069,250,118,106,20,0,0,144,98,267,58,134,151,203,29,393,523
"247","1400000US11001004801",11001004801,"Census Tract 48.01, District of Columbia, District of Columbia","2012",1039,292,82,141,45,41,0,110,37,291,113,143,190,329,37,423,476
"248","1400000US11001004802",11001004802,"Census Tract 48.02, District of Columbia, District of Columbia","2012",1415,634,211,245,69,60,22,329,120,809,141,234,621,221,79,486,491
"249","1400000US11001004901",11001004901,"Census Tract 49.01, District of Columbia, District of Columbia","2012",1003,420,255,185,105,18,12,217,138,615,152,117,278,212,12,469,462
"250","1400000US11001004902",11001004902,"Census Tract 49.02, District of Columbia, District of Columbia","2012",1374,453,174,202,48,55,23,196,103,585,128,89,159,243,143,402,857
"251","1400000US11001005001",11001005001,"Census Tract 50.01, District of Columbia, District of Columbia","2012",860,220,68,215,68,0,0,5,0,149,42,99,77,167,24,598,602
"252","1400000US11001005002",11001005002,"Census Tract 50.02, District of Columbia, District of Columbia","2012",3401,859,205,608,205,161,0,90,0,954,801,397,422,517,313,1059,1743
"253","1400000US11001005201",11001005201,"Census Tract 52.01, District of Columbia, District of Columbia","2012",4025,437,95,370,76,15,0,52,19,733,112,58,233,272,103,1438,2502
"254","1400000US11001005301",11001005301,"Census Tract 53.01, District of Columbia, District of Columbia","2012",3453,624,216,569,196,31,20,24,0,638,14,38,88,190,64,1567,2716
"255","1400000US11001005500",11001005500,"Census Tract 55, District of Columbia, District of Columbia","2012",4048,972,197,847,167,51,12,74,18,1507,29,84,308,178,49,1654,3008
"256","1400000US11001005600",11001005600,"Census Tract 56, District of Columbia, District of Columbia","2012",3575,550,62,406,43,104,19,40,0,2786,79,25,141,365,26,1168,1803
"257","1400000US11001005800",11001005800,"Census Tract 58, District of Columbia, District of Columbia","2012",1688,422,96,338,87,10,0,74,9,231,103,62,100,100,22,769,1157
"258","1400000US11001005900",11001005900,"Census Tract 59, District of Columbia, District of Columbia","2012",1406,246,65,218,58,0,0,28,7,878,68,240,324,300,84,755,689
"259","1400000US11001006202",11001006202,"Census Tract 62.02, District of Columbia, District of Columbia","2012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"260","1400000US11001006400",11001006400,"Census Tract 64, District of Columbia, District of Columbia","2012",902,430,265,66,25,72,10,292,230,451,103,212,383,205,72,100,117
"261","1400000US11001006500",11001006500,"Census Tract 65, District of Columbia, District of Columbia","2012",1325,565,208,529,181,13,13,23,14,321,38,22,142,128,34,753,1127
"262","1400000US11001006600",11001006600,"Census Tract 66, District of Columbia, District of Columbia","2012",929,374,122,374,122,0,0,0,0,333,28,8,3,39,4,555,887
"263","1400000US11001006700",11001006700,"Census Tract 67, District of Columbia, District of Columbia","2012",1819,932,313,790,272,57,27,85,14,667,3,104,189,183,0,1140,1666
"264","1400000US11001006801",11001006801,"Census Tract 68.01, District of Columbia, District of Columbia","2012",844,369,83,167,30,22,0,180,53,321,71,136,289,299,37,410,397
"265","1400000US11001006802",11001006802,"Census Tract 68.02, District of Columbia, District of Columbia","2012",893,455,229,270,138,76,52,109,39,592,74,78,216,308,78,319,530
"266","1400000US11001006804",11001006804,"Census Tract 68.04, District of Columbia, District of Columbia","2012",0,0,0,0,0,0,0,0,0,36,125,486,1132,321,52,53,7
"267","1400000US11001006900",11001006900,"Census Tract 69, District of Columbia, District of Columbia","2012",1157,488,197,363,185,0,0,125,12,314,24,89,203,207,41,544,811
"268","1400000US11001007000",11001007000,"Census Tract 70, District of Columbia, District of Columbia","2012",1166,495,106,409,61,15,15,71,30,404,18,14,161,195,24,704,889
"269","1400000US11001007100",11001007100,"Census Tract 71, District of Columbia, District of Columbia","2012",1263,554,243,221,46,75,20,258,177,965,166,220,475,197,35,481,502
"270","1400000US11001007200",11001007200,"Census Tract 72, District of Columbia, District of Columbia","2012",1465,432,125,293,74,31,16,108,35,337,78,109,326,87,44,659,741
"271","1400000US11001007301",11001007301,"Census Tract 73.01, District of Columbia, District of Columbia","2012",708,655,502,553,400,35,35,67,67,996,0,0,149,469,144,340,203
"272","1400000US11001007304",11001007304,"Census Tract 73.04, District of Columbia, District of Columbia","2012",1261,788,385,202,57,57,23,529,305,899,192,359,913,491,81,128,110
