"","GEO.id","GEO.id2","GEO.display.label","YEAR","HC01_VC05","HC01_VC64","HC01_VC117","HC01_VC118","HC01_VC119","HC01_VC120","HC01_VC121","HC01_VC122","HC01_VC123","HC01_VC124","HC01_VC192","HC01_VC193","HC01_VC194","HC01_VC195","HC01_VC196","HC01_VC197"
"594","1400000US11001003900",11001003900,"Census Tract 39, District of Columbia, District of Columbia","2014",249,1948,0,0,71,46,73,252,214,42,289,259,417,134,186,583
"595","1400000US11001004001",11001004001,"Census Tract 40.01, District of Columbia, District of Columbia","2014",166,1123,16,0,0,0,87,371,362,264,176,160,166,146,143,317
"596","1400000US11001004002",11001004002,"Census Tract 40.02, District of Columbia, District of Columbia","2014",141,1162,16,0,0,10,48,194,251,98,74,178,262,200,79,325
"597","1400000US11001004100",11001004100,"Census Tract 41, District of Columbia, District of Columbia","2014",319,720,10,0,0,8,7,137,179,375,43,184,115,7,111,185
"598","1400000US11001004201",11001004201,"Census Tract 42.01, District of Columbia, District of Columbia","2014",0,1290,12,0,13,0,36,327,309,125,157,170,143,305,203,252
"599","1400000US11001004202",11001004202,"Census Tract 42.02, District of Columbia, District of Columbia","2014",144,1124,0,8,29,0,53,292,130,76,204,176,205,112,73,310
"600","1400000US11001004300",11001004300,"Census Tract 43, District of Columbia, District of Columbia","2014",145,1376,0,0,10,7,78,165,193,119,130,280,225,163,113,427
"601","1400000US11001004400",11001004400,"Census Tract 44, District of Columbia, District of Columbia","2014",48,1289,22,0,0,19,0,438,665,215,164,244,131,247,134,341
"602","1400000US11001004600",11001004600,"Census Tract 46, District of Columbia, District of Columbia","2014",202,675,6,0,0,0,20,313,189,9,86,144,47,112,51,226
"603","1400000US11001004701",11001004701,"Census Tract 47.01, District of Columbia, District of Columbia","2014",129,1839,0,0,0,14,58,241,50,16,318,225,66,435,198,482
"604","1400000US11001004702",11001004702,"Census Tract 47.02, District of Columbia, District of Columbia","2014",37,833,5,0,0,0,12,204,157,5,65,114,113,86,77,373
"605","1400000US11001004801",11001004801,"Census Tract 48.01, District of Columbia, District of Columbia","2014",187,553,8,0,0,0,9,138,233,17,55,49,139,95,91,124
"606","1400000US11001004802",11001004802,"Census Tract 48.02, District of Columbia, District of Columbia","2014",140,1322,0,0,25,0,33,84,121,0,226,241,256,94,57,423
"607","1400000US11001004901",11001004901,"Census Tract 49.01, District of Columbia, District of Columbia","2014",83,765,0,0,0,0,28,53,160,19,88,106,88,61,75,333
"608","1400000US11001004902",11001004902,"Census Tract 49.02, District of Columbia, District of Columbia","2014",151,969,0,0,0,0,11,206,216,4,155,96,119,73,116,384
"609","1400000US11001005001",11001005001,"Census Tract 50.01, District of Columbia, District of Columbia","2014",62,457,0,0,0,0,5,141,256,98,111,92,78,58,76,42
"610","1400000US11001005002",11001005002,"Census Tract 50.02, District of Columbia, District of Columbia","2014",257,2765,10,0,0,0,98,293,341,17,451,230,474,434,278,822
"611","1400000US11001005201",11001005201,"Census Tract 52.01, District of Columbia, District of Columbia","2014",416,2635,23,0,0,36,185,488,602,119,368,351,342,410,410,601
"612","1400000US11001005301",11001005301,"Census Tract 53.01, District of Columbia, District of Columbia","2014",265,2137,19,0,0,21,166,619,294,177,275,238,391,361,102,678
"613","1400000US11001005500",11001005500,"Census Tract 55, District of Columbia, District of Columbia","2014",707,2697,0,61,0,0,110,397,694,273,319,330,401,271,113,1088
"614","1400000US11001005600",11001005600,"Census Tract 56, District of Columbia, District of Columbia","2014",772,2436,57,23,0,39,222,283,319,200,306,264,398,199,42,1097
"615","1400000US11001005800",11001005800,"Census Tract 58, District of Columbia, District of Columbia","2014",414,1105,8,0,0,6,8,322,258,11,122,260,158,124,134,245
"616","1400000US11001005900",11001005900,"Census Tract 59, District of Columbia, District of Columbia","2014",237,1247,0,6,0,0,20,80,41,0,144,137,264,183,82,389
"617","1400000US11001006202",11001006202,"Census Tract 62.02, District of Columbia, District of Columbia","2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"618","1400000US11001006400",11001006400,"Census Tract 64, District of Columbia, District of Columbia","2014",198,812,0,0,23,0,36,58,12,12,136,113,75,74,65,292
"619","1400000US11001006500",11001006500,"Census Tract 65, District of Columbia, District of Columbia","2014",343,623,0,8,8,0,15,45,351,108,135,137,69,74,66,136
"620","1400000US11001006600",11001006600,"Census Tract 66, District of Columbia, District of Columbia","2014",265,344,0,0,5,9,20,45,245,187,82,63,107,30,27,26
"621","1400000US11001006700",11001006700,"Census Tract 67, District of Columbia, District of Columbia","2014",132,699,15,0,0,0,7,116,780,170,68,182,150,115,41,143
"622","1400000US11001006801",11001006801,"Census Tract 68.01, District of Columbia, District of Columbia","2014",81,368,0,0,5,0,61,194,205,5,30,47,42,77,89,61
"623","1400000US11001006802",11001006802,"Census Tract 68.02, District of Columbia, District of Columbia","2014",103,268,0,11,0,0,49,200,387,0,6,31,32,39,26,127
"624","1400000US11001006804",11001006804,"Census Tract 68.04, District of Columbia, District of Columbia","2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"625","1400000US11001006900",11001006900,"Census Tract 69, District of Columbia, District of Columbia","2014",41,504,0,0,0,0,7,109,535,36,73,95,77,52,33,139
"626","1400000US11001007000",11001007000,"Census Tract 70, District of Columbia, District of Columbia","2014",114,591,24,0,0,0,36,77,392,57,75,104,128,106,76,102
"627","1400000US11001007100",11001007100,"Census Tract 71, District of Columbia, District of Columbia","2014",31,826,0,0,0,49,6,283,217,0,127,140,61,117,93,280
"628","1400000US11001007200",11001007200,"Census Tract 72, District of Columbia, District of Columbia","2014",197,1650,0,0,0,17,46,252,125,22,142,282,231,317,187,445
"629","1400000US11001007301",11001007301,"Census Tract 73.01, District of Columbia, District of Columbia","2014",253,852,0,0,0,0,0,0,0,0,29,62,17,81,80,432
"630","1400000US11001007304",11001007304,"Census Tract 73.04, District of Columbia, District of Columbia","2014",193,972,14,24,6,64,58,96,7,0,124,101,123,77,28,428
"631","1400000US11001007401",11001007401,"Census Tract 74.01, District of Columbia, District of Columbia","2014",152,846,9,0,0,4,18,13,9,0,124,56,76,100,114,268
"632","1400000US11001007403",11001007403,"Census Tract 74.03, District of Columbia, District of Columbia","2014",101,1029,0,12,0,28,3,0,9,0,81,46,114,74,43,589
"633","1400000US11001007404",11001007404,"Census Tract 74.04, District of Columbia, District of Columbia","2014",299,957,0,0,8,11,119,56,16,12,26,59,91,92,120,431
"634","1400000US11001007406",11001007406,"Census Tract 74.06, District of Columbia, District of Columbia","2014",156,937,10,0,0,0,7,0,0,0,46,105,112,48,140,416
"635","1400000US11001007407",11001007407,"Census Tract 74.07, District of Columbia, District of Columbia","2014",189,716,39,12,42,109,183,46,11,0,86,45,43,40,82,335
"636","1400000US11001007408",11001007408,"Census Tract 74.08, District of Columbia, District of Columbia","2014",241,1003,0,0,0,7,5,37,0,0,69,14,97,87,56,583
"637","1400000US11001007409",11001007409,"Census Tract 74.09, District of Columbia, District of Columbia","2014",80,1290,0,0,0,33,163,36,8,12,76,93,124,213,59,559
"638","1400000US11001007502",11001007502,"Census Tract 75.02, District of Columbia, District of Columbia","2014",270,1464,28,0,51,34,76,25,0,9,64,177,132,199,111,602
"639","1400000US11001007503",11001007503,"Census Tract 75.03, District of Columbia, District of Columbia","2014",173,614,0,0,0,76,101,80,23,5,30,18,43,25,67,359
"640","1400000US11001007504",11001007504,"Census Tract 75.04, District of Columbia, District of Columbia","2014",351,765,0,19,33,32,87,52,0,0,13,67,83,94,20,401
"641","1400000US11001007601",11001007601,"Census Tract 76.01, District of Columbia, District of Columbia","2014",518,883,27,9,18,140,477,190,64,0,51,32,37,90,142,440
"642","1400000US11001007603",11001007603,"Census Tract 76.03, District of Columbia, District of Columbia","2014",354,1071,18,89,174,37,188,285,55,43,122,257,107,234,55,206
"643","1400000US11001007604",11001007604,"Census Tract 76.04, District of Columbia, District of Columbia","2014",372,1073,21,10,10,0,56,367,61,18,172,160,104,98,21,475
"644","1400000US11001007605",11001007605,"Census Tract 76.05, District of Columbia, District of Columbia","2014",304,1225,30,0,21,40,151,83,13,0,152,148,172,116,61,520
"645","1400000US11001007703",11001007703,"Census Tract 77.03, District of Columbia, District of Columbia","2014",290,1644,31,0,0,131,291,55,20,0,271,29,67,208,97,829
"646","1400000US11001007707",11001007707,"Census Tract 77.07, District of Columbia, District of Columbia","2014",348,875,19,22,36,58,282,144,4,27,121,175,66,70,17,377
"647","1400000US11001007708",11001007708,"Census Tract 77.08, District of Columbia, District of Columbia","2014",227,955,36,8,6,34,17,4,39,0,143,94,137,51,77,366
"648","1400000US11001007709",11001007709,"Census Tract 77.09, District of Columbia, District of Columbia","2014",195,731,15,33,18,36,77,35,4,0,26,80,54,72,85,340
"649","1400000US11001007803",11001007803,"Census Tract 78.03, District of Columbia, District of Columbia","2014",276,843,22,0,44,202,145,56,38,0,60,95,123,16,10,539
"650","1400000US11001007804",11001007804,"Census Tract 78.04, District of Columbia, District of Columbia","2014",289,631,19,0,0,175,134,89,33,0,127,83,20,48,20,269
"651","1400000US11001007806",11001007806,"Census Tract 78.06, District of Columbia, District of Columbia","2014",219,592,32,41,7,53,105,22,6,7,47,56,59,76,15,288
"652","1400000US11001007807",11001007807,"Census Tract 78.07, District of Columbia, District of Columbia","2014",90,591,19,21,74,77,73,29,0,0,32,28,60,63,73,304
"653","1400000US11001007808",11001007808,"Census Tract 78.08, District of Columbia, District of Columbia","2014",304,755,6,54,52,139,212,90,7,0,235,72,79,0,11,343
"654","1400000US11001007809",11001007809,"Census Tract 78.09, District of Columbia, District of Columbia","2014",233,433,46,115,80,145,214,77,21,0,57,11,7,37,62,235
"655","1400000US11001007901",11001007901,"Census Tract 79.01, District of Columbia, District of Columbia","2014",217,1042,9,0,11,25,112,210,128,35,177,76,67,97,72,484
"656","1400000US11001007903",11001007903,"Census Tract 79.03, District of Columbia, District of Columbia","2014",180,249,14,4,9,16,212,181,30,21,26,12,23,13,30,119
