2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
0,0,0,0,2,2,12,12,8,6,0,0,0,0,0,0,0,6,9,6,8,6,0,0,0,0,0,0,0,6,10,7,10,2,0,0,0,0,0,2,3,0,6,10,12,0,0,0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,8,11,24,29,24,37,36,32,27,12,22,8,3,8,10,21,26,32,28,29,32,9,14,1,4,1,17,27,32,28,32,33,22,21,8,19,13,11,20,29,18,29,36,33,15,24,12
-8,2,3,12,18,17,24,26,24,19,3,9,-3,-3,-1,-1,10,17,24,20,18,19,2,4,-8,-1,-10,10,13,21,20,21,23,10,8,3,6,-2,4,7,13,15,22,24,24,12,9,2
-3,5,7,18,24,20,30,31,28,23,8,16,2,0,4,4,16,22,28,24,24,26,6,9,-4,2,-4,14,20,26,24,26,28,16,14,6,12,6,8,14,21,16,26,30,28,14,16,7
6,7,11,17,22,27,31,31,29,22,17,10,6,7,11,17,22,27,31,31,29,22,17,10,6,7,11,17,22,27,31,31,29,22,17,10,6,7,11,17,22,27,31,31,29,22,17,10
-2,-1,1,6,12,17,21,22,19,13,7,2,-2,-1,1,6,12,17,21,22,19,13,7,2,-2,-1,1,6,12,17,21,22,19,13,7,2,-2,-1,1,6,12,17,21,22,19,13,7,2
2,3,6,12,17,22,26,26,24,18,12,6,2,3,6,12,17,22,26,26,24,18,12,6,2,3,6,12,17,22,26,26,24,18,12,6,2,3,6,12,17,22,26,26,24,18,12,6
-5,2,1,6,7,-2,4,5,4,5,-4,10,0,-3,-2,-8,-1,0,2,-2,0,8,-6,3,-6,-1,-10,2,3,4,-2,0,4,-2,2,0,10,3,2,2,4,-6,0,4,4,-4,4,1
23,21,28,29,34,37,38,39,35,34,29,24,23,21,28,29,34,37,38,39,35,34,29,24,23,21,28,29,34,37,38,39,35,34,29,24,23,21,28,29,34,37,38,39,35,34,29,24
1997*,1990*,1983*,2011*,1928*,1925*,1919*,1930*,2008*,1954*,1974*,1998*,1997*,1990*,1983*,2011*,1928*,1925*,1919*,1930*,2008*,1954*,1974*,1998*,1997*,1990*,1983*,2011*,1928*,1925*,1919*,1930*,2008*,1954*,1974*,1998*,1997*,1990*,1983*,2011*,1928*,1925*,1919*,1930*,2008*,1954*,1974*,1998*
-19,-17,-16,-3,4,8,11,12,9,1,-3,-9,-19,-17,-16,-3,4,8,11,12,9,1,-3,-9,-19,-17,-16,-3,4,8,11,12,9,1,-3,-9,-19,-17,-16,-3,4,8,11,12,9,1,-3,-9
1877*,1898*,1873*,1899*,1986*,1929*,1933*,1912*,1908*,1974*,1879*,1896*,1877*,1898*,1873*,1899*,1986*,1929*,1933*,1912*,1908*,1974*,1879*,1896*,1877*,1898*,1873*,1899*,1986*,1929*,1933*,1912*,1908*,1974*,1879*,1896*,1877*,1898*,1873*,1899*,1986*,1929*,1933*,1912*,1908*,1974*,1879*,1896*
0,0.2,0,0,0.3,0,0,0,0,0.03,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0.13,0,0.15,0,1.04,0.41,0,0,0.08,0,0,0.51,0,0.86,0.13,0,0.94,2.16,0.1,0,0,0.05,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,13,11,0,0,0,0,0,0,0,10,2,16,18,14,14,2,0,0,0,0,0,12,9,22,16,22,4,0,0,0,0,0,2,4,12,6,12,10,4,0,2,0,0,0,4,2,11
0,0,0,0,6,2,12,13,10,5,0,0,0,0,0,0,0,4,10,6,6,8,0,0,0,0,0,0,2,8,6,8,10,0,0,0,0,0,0,0,3,0,8,12,10,0,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
