STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
997314,99999, 20120214,   42.8,24, 9999.9, 0, 1017.5,24, 9999.9, 0, 999.9, 0,   4.7,22,   9.9, 999.9,   51.4*,  37.9*, 0.00I,999.9, 000000,
997314,99999, 20120215,   46.6,24, 9999.9, 0, 1020.0,24, 9999.9, 0, 999.9, 0,   5.9,23,  13.0, 999.9,   52.3*,  40.8*, 0.00I,999.9, 000000,
997314,99999, 20120216,   44.6,23, 9999.9, 0, 1023.5,23, 9999.9, 0, 999.9, 0,   2.4,22,   6.0, 999.9,   50.7*,  40.3*, 0.00I,999.9, 000000,
997314,99999, 20120217,   45.1,24, 9999.9, 0, 1017.5,24, 9999.9, 0, 999.9, 0,   5.6,22,  13.0, 999.9,   52.3*,  39.6*, 0.00I,999.9, 000000,
997314,99999, 20120218,   45.4,24, 9999.9, 0, 1017.8,24, 9999.9, 0, 999.9, 0,   5.0,22,  12.0, 999.9,   57.2*,  35.2*, 0.00I,999.9, 000000,
997314,99999, 20120219,   43.2,24, 9999.9, 0, 1017.1,24, 9999.9, 0, 999.9, 0,   5.5,24,  14.0, 999.9,   54.1*,  37.6*, 0.00I,999.9, 000000,
997314,99999, 20120220,   39.9,24, 9999.9, 0, 1019.2,24, 9999.9, 0, 999.9, 0,   5.5,24,  11.1, 999.9,   48.7*,  34.5*, 0.00I,999.9, 000000,
997314,99999, 20120221,   40.3,24, 9999.9, 0, 1024.0,24, 9999.9, 0, 999.9, 0,   5.6,23,  16.9, 999.9,   48.9*,  33.8*, 0.00I,999.9, 000000,
997314,99999, 20120222,   48.5,24, 9999.9, 0, 1009.3,24, 9999.9, 0, 999.9, 0,   5.4,24,  13.0, 999.9,   58.8*,  42.6*, 0.00I,999.9, 000000,
997314,99999, 20120223,   55.9,24, 9999.9, 0, 1000.4,24, 9999.9, 0, 999.9, 0,   6.3,24,   9.9, 999.9,   64.2*,  47.7*, 0.00I,999.9, 000000,
997314,99999, 20120224,   53.8,24, 9999.9, 0,  999.4,24, 9999.9, 0, 999.9, 0,   3.5,24,   6.0, 999.9,   62.1*,  48.0*, 0.00I,999.9, 000000,
997314,99999, 20120225,   43.9,24, 9999.9, 0, 1008.3,24, 9999.9, 0, 999.9, 0,  13.2,24,  21.0, 999.9,   54.5*,  36.0*, 0.00I,999.9, 000000,
997314,99999, 20120226,   39.5,24, 9999.9, 0, 1027.9,24, 9999.9, 0, 999.9, 0,   8.8,24,  21.0, 999.9,   46.8*,  35.1*, 0.00I,999.9, 000000,
997314,99999, 20120227,   45.5,24, 9999.9, 0, 1027.6,24, 9999.9, 0, 999.9, 0,   7.5,24,  15.0, 999.9,   61.9*,  38.1*, 0.00I,999.9, 000000,
997314,99999, 20120228,   49.8,24, 9999.9, 0, 1027.7,24, 9999.9, 0, 999.9, 0,   7.1,24,  14.0, 999.9,   59.5*,  40.8*, 0.00I,999.9, 000000,
997314,99999, 20120229,   45.3,24, 9999.9, 0, 1021.0,24, 9999.9, 0, 999.9, 0,   4.5,24,  12.0, 999.9,   50.5*,  41.4*, 0.00I,999.9, 000000,
997314,99999, 20120301,   58.5,24, 9999.9, 0, 1005.0,24, 9999.9, 0, 999.9, 0,   5.1,24,  11.1, 999.9,   66.7*,  51.1*, 0.00I,999.9, 000000,
997314,99999, 20120302,   48.6,24, 9999.9, 0, 1015.0,24, 9999.9, 0, 999.9, 0,   5.2,23,  12.0, 999.9,   58.8*,  40.6*, 0.00I,999.9, 000000,
997314,99999, 20120303,   50.9,24, 9999.9, 0, 1003.8,24, 9999.9, 0, 999.9, 0,   4.8,23,  13.0, 999.9,   60.1*,  47.1*, 0.00I,999.9, 000000,
997314,99999, 20120304,   47.1,24, 9999.9, 0, 1006.3,24, 9999.9, 0, 999.9, 0,   9.0,23,  15.9, 999.9,   57.6*,  41.2*, 0.00I,999.9, 000000,
